TERM,DEFINITION ,ERROR SYMPTOMS,TROUBLESHOOTING,PRIMARY CATEGORY,SUB CATEGORY,CORE,CORE 1: DOMAIN,CORE 2: DOMAIN,Timestamp
Authentication: Possession factors,"An identity verification category based on a physical object that a user owns and carries with them, commonly referred to as ""something you have."" Examples include hardware security keys (like YubiKeys), smart cards, or temporary one-time passcodes generated on a mobile authenticator app.",Remote attackers easily log into internal company networks from thousands of miles away using only stolen password strings.,Distribute physical hardware security keys or smart cards to all enterprise employees; configure endpoint smart card readers to require users to physically insert their card before unlocking workstation interfaces.,Network Security & Access Control,Identity and Access Management,CORE 2,,SECURITY,6/1/2026 4:13:14
Authentication: RADIUS servers,"Remote Authentication Dial-In User Service (RADIUS) servers. A centralized authentication server technology that allows networking devices (such as wireless access points, Virtual Private Network (VPN) gateways, and network switches) to offload user identity verification tasks to a central user database.","Users are unable to connect to the corporate wireless network, or wireless access points fail to authenticate connecting clients, throwing continuous credential verification errors.",Verify that the wireless access point is configured with the correct IP address and shared secret string matching the RADIUS server profile; ensure the background RADIUS service port numbers (typically ports 1812 and 1813) are open on all network firewalls.,Network Infrastructure Services,Specialized Network Servers,CORE 1,NETWORKING,,6/1/2026 4:15:35
Authentication: Servers,"Dedicated network infrastructure hardware systems—including Active Directory Domain Controllers, RADIUS servers, or Terminal Access Controller Access-Control System Plus (TACACS+) servers—that centrally process user login requests, evaluate credentials, and hand out security tokens across a network enterprise.","Employees cannot log into any corporate computers across the entire office building, with machines showing errors stating “No authentication servers are currently available.”",Check that the centralized authentication server hardware is powered on and connected to the network; ensure the Domain Name System (DNS) configurations on all client workstations point to the authentication server's IP address so they can resolve its path.,Network Infrastructure Services,Specialized Network Servers,CORE 1,NETWORKING,,6/1/2026 4:16:47
Authentication: SSO authentication,Single Sign-On (SSO) authentication. An enterprise authentication framework that allows a user to authenticate just once through a central identity provider and safely gain access to multiple separate software applications and cloud services without re-entering their password credentials.,"Employees are overwhelmed by managing dozens of separate application passwords, leading them to write down credentials on notes or reuse weak passwords across multiple platforms.",Deploy an enterprise cloud identity platform (such as “Microsoft Entra ID” or “Okta”) and integrate company business applications using standard Secure Assertion Markup Language (SAML) or OpenID Connect (OIDC) federation strings to establish single sign-on access.,Operating Systems Management,Active Directory and Domain Services,CORE 2,,OPERATING SYSTEMS,6/1/2026 4:17:37
Authentication: Two-step authentication,"A specific sequence variation of multi-factor authentication where a user enters their standard password (step one) and then receives a secondary temporary code or verification prompt (step two), which is typically delivered via a mobile application or Short Message Service (SMS) text message.",Accounts remain vulnerable to advanced interception attacks because users rely on insecure SMS text message verification codes that can be stolen via Subscriber Identity Module (SIM) swapping exploits.,"Upgrade your account verification configurations to move away from SMS codes, forcing the two-step verification flow to use more secure Time-based One-Time Password (TOTP) authenticator applications or physical security keys.",Network Security & Access Control,Identity and Access Management,CORE 2,,SECURITY,6/1/2026 4:18:17
Authentication: User accounts,"Digital identity profiles managed inside an operating system or directory service database that hold configuration files, security group memberships, and login credentials for an individual user, defining what network resources they are permitted to access.","Users log into workstations but are blocked from opening standard department folders, or standard users accidentally modify critical system directories because their profiles have too many privileges.","Open the Local Users and Groups console panel by running “lusrmgr.msc” on local machines or open “dsa.msc” for Active Directory; audit the user profile's group properties, and apply the principle of least privilege by stripping standard users out of administrative groups.",Operating Systems Management,Active Directory and Domain Services,CORE 2,,OPERATING SYSTEMS,6/1/2026 4:18:51
"Authenticator applications, security",Secure software token generators running on mobile devices that produce Time-based One-Time Password (TOTP) codes or handle cryptographic push notifications to verify user identity during Multi-Factor Authentication (MFA) workflows.,"Workstations fail to prompt users for secondary validation checks during login sequences, or users are locked out of accounts because their authenticator app codes are out of sync with the login server.","Ensure the mobile device's internal time settings are configured to match network time servers automatically, as an incorrect device clock will cause token code generation mismatches; use administrative override backup keys to reset and re-bind the token profile.",Network Security & Access Control,Mobile Device Protection,CORE 2,,SOFTWARE TROUBLESHOOTING,6/1/2026 4:19:27
Automobile synchronization,"The mobile device integration process where a smartphone links its data profiles (including contact lists, text messages, map navigation data, and music libraries) to a vehicle's dashboard media center via wireless Bluetooth connections or wired protocols like Apple CarPlay and Android Auto.","The vehicle's dashboard screen displays connection errors, contacts or media files fail to synchronize, or audio streams drop out intermittently while driving.","Access your smartphone settings menu, open the Bluetooth properties pane, locate the vehicle profile entry, and select an instruction to “Forget Device”; clear out old phone links inside the vehicle's media display options, and restart the pairing process from scratch to establish a clean data link.",Mobile Devices and Mobile Hardware,Mobile Device Connectivity,CORE 1,MOBILE DEVICES,,6/1/2026 4:20:14
"AutoPlay, disabling",The system administration security practice of turning off the Windows feature that automatically scans newly inserted media drives (such as Universal Serial Bus (USB) flash drives or external hard drives) and instantly displays a pop-up window or plays media content based on file types.,"Inserting an external flash drive triggers automatic system modifications or opens unauthorized windows, risking user exposure to malicious drive items.","Open Windows Control Panel, click on the “AutoPlay” applet, clear the check box for “Use AutoPlay for all media and devices”, select an instruction to set all individual drive dropdown listings to “Take no action”, and click “Save” to lock down the system configuration.",Network Security & Access Control,Operational Security Best Practices,CORE 2,,SECURITY,6/1/2026 4:21:43
"AutoRun, disabling","A critical Operating System (OS) security configuration that blocks the system from reading and executing hidden initialization files (like “autorun.inf”) located on newly connected storage drives, which stops malicious scripts from automatically running without user consent.",Plugging a found or untrusted Universal Serial Bus (USB) flash drive into a workstation instantly installs malware or launches background terminal scripts without the user clicking a single file icon.,"Open the “Local Group Policy Editor” by executing the command “gpedit.msc”, navigate to “Computer Configuration > Administrative Templates > Windows Components > AutoRun Policies”, double-click “Turn off AutoPlay”, change the setting toggle to “Enabled”, and click “Apply” to block automated script execution across all drives.",Network Security & Access Control,Logical Security Controls,CORE 2,,SECURITY,6/1/2026 4:22:42
Backlights,A physical hardware illumination component located behind or along the edges of a Liquid Crystal Display (LCD) screen panel that provides the structural light source necessary to make visual images visible to the human eye.,"The laptop screen remains completely black or dark even though the power light indicator is on, but a faint, ghostly image of the desktop can be seen if a bright flashlight is shined directly onto the monitor surface.","Connect an external monitor to the video port to verify whether the graphics processing hardware is functional; if external video works, inspect the internal display panel assembly to replace a faulty high-voltage inverter board or a blown Light-Emitting Diode (LED) backlight harness strip.",Peripherals and Hardware,Laptop Display Components,CORE 1,MOBILE DEVICES,,6/1/2026 4:44:54
Backout plans,A mandatory step in the organizational change management workflow process that details explicit technical operations required to revert a system to its original state if a newly deployed modification fails or causes a critical infrastructure breakdown.,"A newly installed software patch causes an enterprise database to crash, and helpdesk technicians have no written documentation or configuration steps available to undo the damage quickly, extending corporate downtime.","Before deploying any production modification, document a step-by-step reversal sequence, preserve recent system configuration snapshots, and maintain verified system backups to allow the engineering team to run the reversal procedures immediately if an update fails.",Network Infrastructure and Operational Procedures,Change Management Procedures,CORE 2,,OPERATIONAL PROCEDURES,6/1/2026 4:45:26
Backups: Differential backups,"A structural data storage backup method that copies all files and folder items that have been modified or updated since the last absolute full backup operation, without resetting or clearing the file archive attributes.","Daily backup storage consumption increases progressively as the business week continues, because data changes are repeatedly copied and stacked onto each successive daily backup file volume.","To perform a complete server state recovery using this method, locate and restore the very first full backup baseline volume target, then locate and apply only the most recent differential backup image container to pull down all cumulative file changes.",Network Infrastructure and Operational Procedures,Redundancy and Backup Procedures,CORE 2,,OPERATIONAL PROCEDURES,6/1/2026 4:45:58
Backups: Full backups,"An absolute data replication standard that copies every selected file, folder, directory structure, and application partition block across a target system regardless of previous modification logs, explicitly clearing or resetting the archive bit attribute for all items.","Corporate data replication operations take hours to complete, saturating local network bandwidth and causing performance degradation on production servers during the operational replication window.","Schedule full backup tasks to run automatically during low-impact weekend hours using a backup management terminal utility, and combine this baseline with faster mid-week incremental or differential backup sequences to minimize system overhead.",Network Infrastructure and Operational Procedures,Redundancy and Backup Procedures,CORE 2,,OPERATIONAL PROCEDURES,6/1/2026 4:46:32
Backups: Incremental backups,"A highly efficient data protection routine that explicitly replicates only the files and storage blocks that have been modified since the most recent backup operation of any type (full or incremental), clearing the archive attribute bit upon completion.",Disaster recovery processes become time-consuming and fragile because technicians must sequentially mount and process multiple separate storage tape media volumes to piece back a system state.,"To rebuild a crashed file system, restore the original baseline full backup image first, and then sequentially apply every single subsequent incremental backup volume in the exact chronological order they were recorded to avoid data corruption.",Network Infrastructure and Operational Procedures,Redundancy and Backup Procedures,CORE 2,,OPERATIONAL PROCEDURES,6/1/2026 4:55:11
Backups: Linux,"The operational implementation of data protection utilities within a Linux operating system environment, utilizing open-source command-line backup protocols to copy, compress, and archive local system files to alternative media paths.","Cron automation tasks return terminal errors indicating that root file directories cannot be parsed, or backup archive images fail to generate due to missing administrative execution privileges.",Open an interactive shell terminal console window and configure administrative privileges by running the instruction “sudo tar -cvzf backup.tar.gz /home/user” to bundle and compress the target home directory files safely into an archive folder container.,Operating Systems Management,Linux Command-Line Utilities,CORE 2,,OPERATING SYSTEMS,6/1/2026 5:04:51
Backups: Malware prevention,The defensive data protection strategy of maintaining offline or immutable system data copies to ensure clean files can be recovered if a local computer network is compromised by malicious software applications or ransomware encryption scripts.,"A ransomware attack encrypts local desktop computers, and when technicians attempt to connect to network backup drives, they find that the backup archives have also been encrypted and compromised.","Implement a strict 3-2-1 backup layout scheme by keeping three copies of all critical data across two different media types, and ensure that at least one copy is kept completely offline in an air-gapped network zone or disconnected cloud container to block lateral malware encryption paths.",Network Security & Access Control,Malware Detection and Removal,CORE 2,,SECURITY,6/1/2026 5:05:31
Backups: Mobile devices,"The automated or manual process of replicating mobile data items—such as system settings, contact records, photos, application data profiles, and text messages—from a smartphone or tablet to an external cloud storage database or local personal computer.","A user drops their tablet device, causing complete hardware destruction, and realizes that all critical business contacts and local media files are permanently gone because sync routines were disabled.","Navigate into the mobile device system configuration pane, click on the user account cloud profile settings (such as iCloud or Google One), enable the toggle switch option labeled “Back Up Now”, and ensure the device is connected to an unmetered internet connection to upload local configuration logs.",Mobile Devices and Mobile Hardware,Mobile Device Synchronization,CORE 1,MOBILE DEVICES,,6/1/2026 5:19:02
Backups: Rotation schemes,"Structured administrative scheduling frameworks—such as Grandfather-Father-Son (GFS)—that define how data backup media volumes are cycled, archived, and overwritten over a prolonged operational period to balance storage costs with data retention requirements.","An organization runs out of physical backup storage disks or tape media because it keeps every single daily backup file permanently, or it mistakenly overwrites a monthly accounting archive due to disorganized media rotation rules.","Configure your automated backup management software platform to execute daily incremental runs (the ""sons""), weekly full baseline sweeps (the ""fathers""), and monthly long-term retention snapshots (the ""grandfathers"") to organize media lifespan cycles.",Network Infrastructure and Operational Procedures,Redundancy and Backup Procedures,CORE 2,,OPERATIONAL PROCEDURES,6/1/2026 5:21:02
Backups: Synthetic backups,"An advanced storage engineering technique that uses an application server to build a fresh, full backup image file by combining a previous traditional baseline full backup volume with subsequent incremental file modifications, saving network transmission bandwidth.",Network infrastructure adapters experience massive bottleneck spikes during nightly replication hours because full backup payload configurations saturate WAN (Wide Area Network) links.,"Deploy an advanced backup application agent that supports data block processing, and set the platform instruction to execute a local synthetic build process directly inside the target storage repository array to compile the file volume without re-transmitting data across the network.",Network Infrastructure and Operational Procedures,Redundancy and Backup Procedures,CORE 2,,OPERATIONAL PROCEDURES,6/1/2026 5:44:27
Backups: Testing,"The regular operational practice of mounting, restoring, and validating archived data files inside an isolated sandbox sandbox test environment to confirm the data blocks are not corrupted and can be successfully used during a real disaster recovery emergency.","System administrators attempt to restore files from a backup tape after a server failure, only to find the backup files are empty, unreadable, or throwing a fatal ""CRC (Cyclic Redundancy Check) error"" indicating data corruption.","Set a mandatory monthly calendar schedule rule to pull down random sample files from production backup storage arrays, restore them to a non-production validation machine, and verify that the file metadata hashes match original system logs.",Network Infrastructure and Operational Procedures,Redundancy and Backup Procedures,CORE 2,,OPERATIONAL PROCEDURES,6/1/2026 5:45:07
Badge readers,Physical electronic security access control hardware components mounted next to facility entry points that read encoded authentication data from a user's proximity card or RFID (Radio Frequency Identification) token before unlocking a door latch.,"Authorized enterprise employees are locked out of server room facilities, or door locks remain unsecured because the card scanner fails to transmit identity verification logs to the central security terminal database.",Inspect the low-voltage power wiring layout connected to the door access controller interface panel; test the reader device using a known functional test token asset; update the user access permission credentials inside the centralized physical access security software console.,Network Security & Access Control,Physical Security Controls,CORE 2,,SECURITY,6/1/2026 6:21:04
"Bandwidth, UTP cabling","The maximum information-carrying capacity and signal transmission frequency range of an Unshielded Twisted Pair (UTP) copper network cable, measured in megabits or gigabits per second and determined by its specific manufacturing category (such as Cat 5e or Cat 6).","Network infrastructure computers communicate at degraded speeds (like 100 Mbps instead of 1 Gbps), or packet sniffer utilities log high rates of data frame corruption and signal attenuation.",Check the text markings stamped along the outer plastic jacket insulation of the copper cord to verify its classification; replace legacy Cat 5 wiring cables with modern Cat 6a structures to support stable 10 Gbps (Gigabits per second) speeds up to a maximum run distance of 100 meters.,Network Infrastructure and Media,Network Cabling and Connector Types,CORE 1,NETWORKING,,6/1/2026 6:22:15
Bash: Comment syntax,"The structural characters used inside a Bourne-Again Shell (Bash) script to mark lines as descriptive plain-text explanations, instructing the script interpreter engine to skip those lines entirely during code execution.",Executing a custom Linux automation script returns unexpected syntax errors because the shell interpreter tries to parse standard English text descriptions as operational system commands.,"Open the automation document script inside a text editor utility, locate the explanatory plain text notes, and insert the explicit pound symbol character “#” at the very beginning of every descriptive line to convert the text into an unexecuted comment string.",Operating Systems Management,Scripting Basics and Syntax,CORE 2,,OPERATIONAL PROCEDURES,6/1/2026 6:23:27
Bash: Nano command,"A user-friendly, lightweight terminal-based text editor utility included in many Linux distributions, used to create or modify configuration scripts and plain-text files directly within a command line console window.",A system administrator cannot edit system configuration parameters because they are stuck inside a complex command shell interface without a graphical user interface installed.,"Launch the text utility tool from an open terminal prompt by running the command “nano filename.sh”, make your required script text adjustments, and save your modifications by pressing the keyboard shortcut sequence “Ctrl + O” followed by “Ctrl + X” to exit.",Operating Systems Management,Linux Command-Line Utilities,CORE 2,,OPERATING SYSTEMS,6/1/2026 6:26:44
Bash: Scripting,"The programmatic practice of writing automated sequences of system commands inside a plain text document file, using a Bourne-Again Shell (Bash) interpreter layout to execute repetitive administrative operations within a Linux system.","Helpdesk technicians waste time manually performing identical system configuration routines on multiple distinct servers, resulting in non-uniform system setups.","Create a text file with a specialized file extension structure by executing “nano script.sh”, declare the interpreter path on line one by inserting the sh-bang string “#!/bin/bash”, define your programmatic logic commands, and authorize file execution by running the string “chmod +x script.sh”.",Operating Systems Management,Scripting Basics and Syntax,CORE 2,,OPERATIONAL PROCEDURES,6/7/2026 0:00:00
Bash: Use cases,"Practical IT (Information Technology) application scenarios where a Bourne-Again Shell (Bash) automation script is deployed to replace manual effort, such as automated system software updates, daily data backups, or log file parsing.","System log files fill up server storage drives because nobody is running cleanup tasks, or deployment teams take too long provisioning user profiles on new server instances.","Write custom script files to automate repetitive administrative workflows, then map the file path locations into the system crontab scheduler utility by configuring a cron configuration rule line to run the scripts automatically during off-peak hours.",Operating Systems Management,Scripting Basics and Syntax,CORE 2,,OPERATIONAL PROCEDURES,6/7/2026 0:00:00
Bash: VIM,"Vi Improved (VIM). A highly advanced, modal text editor utility built into Linux operating systems that allows power users to modify system code scripts and configuration documents entirely from a command-line interface using specialized keyboard modes.","A technician launches an internal configuration editor from a remote command console terminal screen and becomes trapped inside the application, unable to figure out how to save data or exit the program interface.","Press the keyboard escape key “Esc” to clear current text input arrays and enter command mode, then type the explicit file instruction sequence “:wq” and press Enter to save your modifications and quit the utility workspace.",Operating Systems Management,Linux Command-Line Utilities,CORE 2,,OPERATING SYSTEMS,6/7/2026 0:00:00
"Basic disks, converting to dynamic disks","The logical disk management conversion process inside Windows that upgrades a traditional partition layout configuration into a dynamic storage disk architecture, allowing for advanced software configurations like spanned, striped, or mirrored volume sets.",The options to create a software RAID (Redundant Array of Independent Disks) mirror array are unavailable or grayed out within the operating system management utility workspace because the storage drives are still locked in legacy partition styles.,"Open the Windows Disk Management interface by running the command “diskmgmt.msc”, right-click the target drive index block header item, select the specific menu option labeled “Convert to Dynamic Disk”, and verify that the partition labels transform to a dynamic state layout.",Operating Systems Management,Windows Administrative Utilities,CORE 2,,OPERATING SYSTEMS,6/7/2026 0:00:00
Basic drives,"The standard storage drive initialization layout configuration utilized by default within Windows operating systems, using traditional Master Boot Record (MBR) or GUID (Globally Unique Identifier) Partition Table (GPT) partitioning schemes to isolate file systems on a single drive unit.",A system administrator cannot create a single continuous drive letter space that spans across multiple physically separate storage hard drive units using native OS tools.,"Use basic drive configurations for standard workstation deployments to store operating system files; if advanced fault tolerance or multi-drive volume spanning is required later, execute an administrative upgrade step to convert the storage disks to a dynamic drive architecture.",Operating Systems Management,Storage Management Utilities,CORE 2,,OPERATING SYSTEMS,6/7/2026 0:00:00
Batch files,"Alphanumeric script files containing sequential commands that are executed by the native Windows Command Prompt (cmd.exe) interpreter engine, saved with a specialized file extension format such as “.bat” or “.cmd”.",Automated corporate user environment drive mappings or desktop printer deployment operations fail to launch automatically when users log into their network workstations.,"Open a text file editor workspace and write the necessary command lines using command prompt syntax; save the text file using the explicit file extension name string “logon.bat”, and assign the script path location to a Group Policy Object (GPO) login rule container.",Operating Systems Management,Scripting Basics and Syntax,CORE 2,,OPERATIONAL PROCEDURES,6/7/2026 0:00:00
"Batteries, troubleshooting","The diagnostics and evaluation of a mobile device's chemical power cell component to determine its structural degradation level, lifecycle status, and physical stability.","A laptop computer case begins to warp or the trackpad face track container lifts upward out of its housing, or a mobile device completely shuts off the moment its AC (Alternating Current) power adapter cord is unplugged.","Immediately turn off and isolate the mobile device if you notice a physically swollen casing, as compromised battery packets pose an inflation and thermal fire risk; use a safe plastic spudger tool to unscrew the casing and lift out the old cell block, then install a certified OEM (Original Equipment Manufacturer) replacement battery unit.","Motherboards, RAM, and CPU Diagnostics",Troubleshooting Power Issues,CORE 1,HARDWARE & NETWORK TROUBLESHOOTING,,6/7/2026 0:00:00
"Beep codes, motherboards",Power On Self Test (POST) audio codes. A diagnostic series of short or long sound tones emitted by a motherboard's internal speaker component during system startup when a catastrophic hardware component failure prevents initialization of the main video monitor display.,"The desktop computer power indicators turn on and internal case cooling fans spin up, but the monitor display remains completely dark while the machine case emits a pattern of audio beeps (such as three long beeps followed by one short beep).","Listen carefully to identify the exact audio pattern sequence; pull up the specific motherboard manufacturer's reference guide index; perform targeted hardware adjustments (such as re-seating loose RAM (Random-Access Memory) modules, fixing video adapter cards, or inspecting CPU power rails) based on the guide's error descriptions.","Motherboards, RAM, and CPU Diagnostics",Troubleshooting Core Hardware,CORE 1,HARDWARE & NETWORK TROUBLESHOOTING,,6/7/2026 0:00:00
"Behavioral factors, authentication","An advanced biometric identity verification classification layer that continuously measures unique human action dynamics—such as an operator's manual typing rhythm, mouse cursor movement habits, or vocal speech patterns—to confirm an authenticated user identity.","Automated script bots use valid stolen password strings to log into secure remote user profiles, bypassing basic security checks because the system cannot differentiate between human inputs and programmatic commands.","Integrate user behavioral analytics software components into the corporate identity verification framework to continuously monitor active system sessions, flagging abnormal input speeds and prompting for multi-factor authentication if anomalies occur.",Network Security & Access Control,Identity and Access Management,CORE 2,,SECURITY,6/7/2026 0:00:00
Best practices: Account management,"Operational security guidelines that direct how administrative teams provision, audit, update, suspend, and delete corporate user network identities to enforce organizational data boundaries.","Former employees continue to access internal company networks long after their employment has ended, or network audits find untracked user profiles with unmonitored system modifications.","Implement an automated offboarding checklist procedure to disable user profiles immediately upon separation; run quarterly profile access audits across Active Directory (AD) containers, and configure strict profile tracking parameters to maintain regulatory compliance.",Network Security & Access Control,Operational Security Best Practices,CORE 2,,SECURITY,6/7/2026 0:00:00
Best practices: Administrator accounts,"Security configuration principles specifying that highly privileged profiles must be heavily restricted, monitored with detailed logging, and used exclusively for authorized system changes rather than daily tasks like web browsing.","A helpdesk technician downloads a malicious email attachment while logged directly into a workstation using full administrator credentials, allowing malware to instantly execute and compromise the entire operating system kernel.",Enforce a strict administrative policy requiring technicians to use standard unprivileged user accounts for standard business activities; mandate that they elevate their privileges using the explicit instruction “Run as administrator” or the command “sudo” only when performing authorized system modifications.,Network Security & Access Control,Operational Security Best Practices,CORE 2,,SECURITY,6/7/2026 0:00:00
Best practices: AutoPlay,"Security guidelines that manage how an operating system reacts when digital media (like an audio CD or DVD) is inserted into an optic drive slot, focusing on blocking automated software installations while preserving basic usability.",Inserting a diagnostic disc into a multimedia computer instantly triggers an unexpected application installer or changes local display properties without user confirmation.,"Open Windows Control Panel, access the “AutoPlay” utility, choose to display a prompt asking the user for confirmation for every media class variation, and clear the master check box labeled “Use AutoPlay for all media and devices” to prevent automated software behavior.",Network Security & Access Control,Operational Security Best Practices,CORE 2,,SECURITY,6/7/2026 0:00:00
Best practices: AutoRun,"Strict security configuration rules that completely block an operating system from reading and executing hidden initialization files (like “autorun.inf”) found on newly attached removable storage drives, preventing silent malware infections.",Plugging a found or untrusted USB (Universal Serial Bus) flash drive into a corporate computer instantly runs background terminal scripts or installs malware without the user clicking any file icons.,"Open the “Local Group Policy Editor” console by running the command “gpedit.msc”, navigate to “Computer Configuration > Administrative Templates > Windows Components > AutoRun Policies”, double-click “Turn off AutoPlay”, set the status to “Enabled”, and click “Apply” to protect all workstations across the domain workspace.",Network Security & Access Control,Logical Security Controls,CORE 2,,SECURITY,6/7/2026 0:00:00
Best practices: Change management,"A formal corporate governance process framework used to evaluate, authorize, test, document, and execute major infrastructure modifications across an enterprise environment to reduce risk and prevent service outages.","A network engineer modifies a core router configuration on a whim during peak business hours, causing a sudden corporate network outage that leaves helpdesk teams with no record of why the system went offline.","Mandate that all infrastructure modifications be submitted as a formal Change Request (CR) to a Change Advisory Board (CAB); ensure each request includes a defined scope of work, risk analysis, testing log, and an actionable backout plan before execution.",Network Infrastructure and Operational Procedures,Change Management Procedures,CORE 2,,OPERATIONAL PROCEDURES,6/7/2026 0:00:00
Best practices: Guest accounts,"An operational security rule dictating that built-in, unauthenticated user profiles intended for temporary public use must remain completely disabled across all network computers to eliminate unauthorized access paths.",External visitors or malicious actors sit down at an unattended desktop computer console and easily log into the corporate network environment using a blank password under an active guest profile slot.,"Open the Windows Computer Management interface by executing the command “compmgmt.msc”, navigate to “Local Users and Groups”, double-click the profile labeled `Guest`, check the box option for `Account is disabled`, and click `Apply` to block unauthenticated access.",Network Security & Access Control,Operational Security Best Practices,CORE 2,,SECURITY,6/7/2026 0:00:00
Best practices: Lockout thresholds,An account protection rule that defines the maximum number of consecutive failed login attempts a user can make before the operating system automatically locks down and suspends the profile for a predetermined period.,Automated malicious script applications successfully guess a user's password using a brute-force attack tool because the login form allows unlimited consecutive password attempts without blocking access.,"Open the Local Security Policy utility screen by executing the command “secpol.msc”, navigate to “Account Policies > Account Lockout Policy”, double-click the item labeled “Account lockout threshold”, and configure the value parameter to limit attempts to exactly “3 failed logon attempts”.",Network Security & Access Control,Operational Security Best Practices,CORE 2,,SECURITY,6/7/2026 0:00:00
Best practices: Logons,"Security guidelines that manage user authentication mechanics, such as masking password characters during input, blocking password reuse histories, enforcing maximum idle session timeouts, and displaying corporate warning banners before login.","Workstation consoles remain unlocked and accessible to passing strangers long after an employee walks away from their desk, exposing sensitive corporate data to unauthorized physical viewing.","Use a domain Group Policy Object (GPO) configuration line to enforce a mandatory screen saver lock rule that triggers after exactly 10 minutes of user inactivity, requiring users to re-enter their full login credentials to unlock the desktop workspace.",Network Security & Access Control,Operational Security Best Practices,CORE 2,,SECURITY,6/7/2026 0:00:00
Best practices: Malware removal,"The standard CompTIA A+ seven-step operational process framework utilized to safely isolate, remediate, and immunize a computer system that has been infected by malicious software.","A helpdesk technician deletes an infected file icon from an infected workstation but skips system restoration checks, leading to a recurring malware infection from hidden registry keys upon reboot.","Follow the official 7-step remediation framework sequence: (1) Identify malware symptoms, (2) Quarantine infected systems, (3) Disable System Restore, (4) Remediate infected systems via antivirus tools, (5) Schedule scans and apply updates, (6) Enable System Restore, and (7) Educate the end user.",Network Security & Access Control,Malware Detection and Removal,CORE 2,,SOFTWARE TROUBLESHOOTING,6/7/2026 0:00:00
Best practices: Passwords,"Organizational security configuration rules governing the generation and protection of user credentials, mandating minimum length limits, characters from multiple distinct character classes, and regular rotation schedules.","Corporate user accounts are easily compromised through basic dictionary attacks because employees choose simple, predictable words (like “Summer2026!”) for their passwords.","Enforce domain policies requiring passwords to be at least 14 characters long, mandate password complexity settings that block dictionary terms, and maintain a historical password reuse block rule to prevent users from toggling back to old passwords.",Network Security & Access Control,Operational Security Best Practices,CORE 2,,SECURITY,6/7/2026 0:00:00
Best practices: User permissions,"The administrative practice of allocating explicit data access privileges based on the principle of least privilege, ensuring users are granted only the minimum system permissions necessary to perform their required job duties.",A standard data entry employee accidentally navigates into a sensitive corporate folder share and deletes structural accounting spreadsheets because their account had write and delete privileges.,"Remove standard user accounts from local and domain administrator security groups; assign folder access permissions using targeted Active Directory (AD) security groups rather than individual profiles, and set access constraints to read-only whenever possible.",Network Security & Access Control,Operational Security Best Practices,CORE 2,,SECURITY,6/7/2026 0:00:00
Best practices: User usernames,"Standard corporate naming conventions and security management rules governing user account identifiers, specifying unique creation formats while avoiding details that reveal account privilege levels.","An organization formats high-privilege usernames with obvious prefixes like “admin_jjackson”, allowing external cyberattackers to easily identify high-value targets for brute-force credential attacks.","Implement a standardized naming format across the entire enterprise directory layout (such as first initial followed by last name, like “jjackson”); use alternative security tracking identifiers behind the scenes, and hide privilege levels from public profile names.",Network Security & Access Control,Operational Security Best Practices,CORE 2,,SECURITY,6/7/2026 0:00:00
Biometrics,"An authentication mechanism that verifies a user's identity based on unique physical or behavioral traits, such as fingerprints, facial recognition, or iris scans.","Users experience ""False Rejection"" where legitimate users are locked out, or ""False Acceptance"" where unauthorized individuals gain access.","Clean the biometric scanner hardware surface, recalibrate the threshold sensitivity settings within the security management software, and re-enroll the user’s physical profile templates.",Identity and Access Management,Physical & Logical Authentication,CORE 2,,SECURITY,6/7/2026 0:00:00
BIOS (Basic Input/Output System) firmware,"Built-in, non-volatile firmware used to perform hardware initialization during the booting process and provide runtime services for operating systems.","System fails to recognize newly installed hardware components, fails to initiate the operating system boot process, or hangs indefinitely during power-on routines.","Restart the system and press the manufacturer-specified key (such as “F2” or “Del”) to enter setup, verify that hardware settings match the physical layout, or select “Load Setup Defaults” to clear misconfigurations.",Hardware & System Components,System Firmware & Interfaces,CORE 1,HARDWARE,,6/7/2026 0:00:00
BIOS firmware: Boot order,A configurable list within the system firmware that determines the precise sequential order in which storage devices are searched for a bootable operating system.,"The system displays a ""No boot device found"" error or accidentally boots into an unintended recovery drive or external USB (Universal Serial Bus) storage device.","Enter the firmware setup utility, navigate to the “Boot” tab, use the designated arrow or navigation keys to move the primary storage drive containing the OS (Operating System) to the top position, then save and exit.",Hardware & System Components,System Firmware & Interfaces,CORE 1,HARDWARE,,6/7/2026 0:00:00
BIOS firmware: Fan settings,Configurable profiles within the system firmware that regulate the rotational speeds of internal cooling fans based on real-time temperature thresholds.,"Fans run constantly at maximum speed causing excessive noise, or fans spin too slowly resulting in thermal throttling and unexpected system shutdowns.","Boot into the configuration interface, navigate to the “Hardware Monitor” or “Smart Fan Configuration” screen, select an appropriate profile like “Standard” or “Silent”, or manually adjust the pulse-width modulation curves.",Hardware & System Components,Cooling Systems & Management,CORE 1,HARDWARE,,6/7/2026 0:00:00
